x,y,tree_type
0.4234014807063696,0.3948815181755697,Mahogany
0.7068573438476171,0.7290071680409873,Mahogany
0.8500385777897993,0.4494506741382034,Mahogany
0.4722149251619493,0.1195942459383017,Teak
0.23598491974895575,0.25606832276132396,Teak
0.7106628896857874,0.11089082081183133,Neem
0.6364104112637804,0.3143559810763267,Sandalwood
0.289751452913768,0.16122128725400442,Teak
0.6243540481337932,0.295633685837714,Sandalwood
0.45653457048291024,0.2184404372168336,Neem
0.2721322493846353,0.6476901205413623,Mahogany
0.417411003148779,0.22210781047073025,Neem
0.2694123337985215,0.24412552224777417,Teak
0.2539154139343447,0.2468760628386012,Sandalwood
0.49724850589238545,0.30087830981676966,Teak
0.6343513447013638,0.6807054515547668,Mahogany
0.7616196153287176,0.23763754399239967,Sal
0.8031397563798959,0.4703006344460384,Teak
0.6335297107608947,0.5357746840747585,Neem
0.7983451249845511,0.15071754396542947,Sal
0.5908929431882418,0.6775643618422824,Sal
0.6756901170392807,0.7352161192407721,Teak
0.2579416277151556,0.659984046034179,Teak
0.7853406511139436,0.6689882547142286,Teak
0.6918951976926933,0.6519612595026005,Mahogany
0.4938937151834346,0.1788227092213288,Mahogany
0.5683086033354716,0.09367476782809248,Sal
0.6363326181858954,0.25046181860558414,Sandalwood
0.906098787718554,0.43439436551042865,Mahogany
0.5026370931051921,0.5769038846263591,Neem
0.8641675650719031,0.23018526824155527,Neem
0.6454722959071678,0.17711067940704894,Neem
0.46994451399094295,0.2795603417967586,Sandalwood
0.8530094554673601,0.2944488920695857,Mahogany
0.19091103115034602,0.2684748568901568,Sal
0.570061170089365,0.09717649377076854,Neem
0.6711435168240506,0.3586467812961639,Sal
0.697015740995268,0.7024840839871093,Neem
0.5528199769079077,0.2965101436477985,Sandalwood
0.25620694359445806,0.6115137108656805,Neem
0.5113423988609378,0.5015162946871996,Teak
0.5788648955075587,0.43847412301808697,Neem
0.46559801813246016,0.5426446347075766,Teak
0.3601906414112629,0.12706051265188478,Mahogany
0.8278690037875887,0.2715429158197419,Neem
0.6228904758190003,0.085347464993768,Mahogany
0.6995122107671938,0.13835309241780136,Neem
0.2708322512620742,0.4389714207056361,Sal
0.6884999007653664,0.05819359550844361,Teak
0.15643704267108605,0.25024289816459533,Teak
0.5166962574265667,0.6571113285001668,Mahogany
0.6117207462343522,0.4196000624277899,Mahogany
0.5660372104940763,0.15864644764249103,Teak
0.4741738290873252,0.09783416065100148,Neem
0.8069129770507795,0.3463043210894008,Teak
0.43385164923797304,0.39850473439737344,Sal
0.5393774484000625,0.6839637693981411,Neem
0.3881699262065219,0.6432882184423532,Mahogany
0.651484771857788,0.20668435987674538,Mahogany
0.6830067734163568,0.07118864846022899,Neem
0.34062456946424,0.2606945282359031,Sal
0.2820345725713065,0.17743954377972282,Mahogany
0.5685202837499583,0.5759245752580846,Sal
0.4126176769114265,0.37201808579278317,Sandalwood
0.5618666921437736,0.23859685979034018,Teak
0.7399087604473745,0.23823615240397944,Teak
0.8264574661077416,0.32004960103061175,Sal
0.6767699044243033,0.48252094964264247,Teak
0.6318372121697993,0.44844552197831977,Sal
0.602440925901119,0.5537030523458008,Mahogany
0.7896181427945539,0.09120610304869037,Teak
0.5459157701649889,0.7058314838786945,Sal
0.6182180633162611,0.10112267612279024,Sal
0.4260914750469411,0.22257641757103053,Teak
0.7533781852589416,0.37625958553091576,Sal
0.48166698796411533,0.37798759012225447,Sal
0.7460448792654233,0.5833687650971596,Teak
0.40022289287202484,0.47771489088022767,Sandalwood
0.6293986381352625,0.6957486889846172,Sal
0.3882683839898722,0.22939474570494967,Neem
0.5360963663441204,0.30952761628632774,Teak
0.6847311725538793,0.1626169393448913,Teak
0.4166390577384792,0.5811626211808263,Sandalwood
0.55158787254407,0.16483426113700095,Sandalwood
0.7776022837352256,0.48037008186635466,Sal
0.4686931597949703,0.4148195023376652,Mahogany
0.691714397168912,0.5343462750294631,Mahogany
0.8496473906774115,0.24734810174319766,Teak
0.2050453285065249,0.25144243951179845,Mahogany
0.60617463445088,0.22864280550346272,Teak
0.7569991321722287,0.04689646779121992,Sal
0.5519068387744855,0.5609379715353863,Teak
0.7918178394696329,0.5899558971376361,Sal
0.6203095513534647,0.7040797680992236,Sal
0.6366443216222826,0.5548156085422257,Sal
0.9041586944937484,0.34825546702330035,Teak
0.29795945154195047,0.5236022760150112,Mahogany
0.25824438829895835,0.4591357562382613,Teak
0.6208056844220913,0.3474134082254142,Neem
0.5796499344717384,0.34156321045654503,Neem
0.6408747448032146,0.18188008439914483,Neem
0.6019353955409602,0.2238490659063206,Sandalwood
0.34508262782238674,0.3476192144826835,Sandalwood
0.2063337184057925,0.36426986104807546,Teak
0.3300995133101554,0.321582764680029,Neem
0.6279003894909078,0.08175903194887191,Teak
0.7599554089375856,0.531265753973534,Teak
0.7474709381337565,0.0366832028905979,Neem
0.35414667079312545,0.3971638325040825,Sandalwood
0.5353355640155235,0.23321641154980122,Teak
0.5935924535540487,0.6791023191444896,Sal
0.648822840291576,0.4795821017542502,Neem
0.5371065418185478,0.5868411180208791,Neem
0.5865354346607591,0.5644585425226413,Teak
0.28377590579872447,0.3630822963986351,Sandalwood
0.36535681967405764,0.4878098008087379,Neem
0.8966102629740208,0.57599841780566,Sal
0.5567628930139298,0.5716126894698998,Sal
0.8385825587026248,0.2050775601494591,Teak
0.3236792364042437,0.4254364386164168,Sandalwood
0.7362471836984882,0.5298400231811167,Mahogany
0.6106200424416326,0.28863055324025577,Sandalwood
0.3206421921595143,0.5938830975578988,Teak
0.3366042781939206,0.13441467693897424,Sal
0.5489219798889773,0.20173046233023584,Mahogany
0.8098744458546349,0.25464065476376385,Mahogany
0.4731662010518922,0.6061018810558386,Sal
0.6651972206962001,0.5230654247691193,Neem
0.3161965822964946,0.5883066757950567,Teak
0.8165994394715771,0.4391349085702184,Teak
0.539781061914633,0.43874467538833906,Sandalwood
0.3838912213732114,0.5435528611139886,Mahogany
0.4315281431364426,0.3328157859124843,Neem
0.3349056146570861,0.13927207266338726,Sal
0.8786291153734382,0.49542362640396564,Teak
0.7972953657795536,0.14991742734877378,Sal
0.5655083473229738,0.7161790747329522,Sal
0.34569599350391944,0.18159771680142567,Teak
0.3425242571785434,0.22735098302998702,Neem
0.2879296164757261,0.6149502631526544,Teak
0.5862298320167972,0.505888678884466,Mahogany
